date,test,event,dead,heal
10-03-20,0,1,0,0
11-03-20,0,1,0,0
12-03-20,0,1,0,0
13-03-20,0,4,0,0
14-03-20,0,1,0,0
15-03-20,0,10,0,0
16-03-20,0,29,0,0
17-03-20,0,51,1,0
18-03-20,0,93,1,0
19-03-20,0,168,2,0
20-03-20,0,311,5,0
21-03-20,0,277,12,0
22-03-20,0,289,9,0
23-03-20,0,293,7,0
24-03-20,0,343,7,0
25-03-20,0,561,15,0
26-03-20,0,1196,16,0
27-03-20,7533,2069,17,42
28-03-20,7641,1704,16,28
29-03-20,9982,1815,23,35
30-03-20,11535,1610,37,57
31-03-20,15422,2704,46,81
01-04-20,14396,2148,63,90
02-04-20,18757,2456,79,82
03-04-20,16160,2786,69,69
04-04-20,19664,3013,76,302
05-04-20,20065,3135,73,256
06-04-20,21400,3148,75,284
07-04-20,20023,3892,76,256
08-04-20,24900,4117,87,264
09-04-20,28578,4056,96,296
10-04-20,30864,4747,98,281
11-04-20,33170,5138,95,542
12-04-20,35720,4789,97,481
13-04-20,34456,4093,98,511
14-04-20,33070,4062,107,842
15-04-20,34090,4281,115,875
16-04-20,40427,4801,125,1415
17-04-20,40270,4353,126,1542
18-04-20,40520,3783,121,1822
19-04-20,35344,3977,127,1523
20-04-20,39703,4674,123,1454
21-04-20,39429,4611,119,1488
22-04-20,37535,3083,117,1559
23-04-20,40962,3116,115,2014
24-04-20,38351,3122,109,3246
25-04-20,38308,2861,106,3845
26-04-20,30177,2357,99,3558
27-04-20,20143,2131,95,4651
28-04-20,29230,2392,92,5018
29-04-20,43498,2936,89,5231
30-04-20,42004,2615,93,4846
01-05-20,41431,2188,84,4922
02-05-20,36318,1983,78,4451
03-05-20,24001,1670,61,4892
04-05-20,35771,1614,64,5015
05-05-20,33283,1832,59,5119
06-05-20,30303,2253,64,4917
07-05-20,30395,1977,57,4782
08-05-20,33687,1848,48,3412
09-05-20,35605,1546,50,3084
10-05-20,36187,1542,47,3211
11-05-20,32722,1114,55,3089
12-05-20,37351,1704,53,3109
13-05-20,33332,1639,58,2826
